16-06-2025 18:54:35- INFO| TeleBot: credentials imported from text file successfully. | file:Notification_Module.py|func:telegram_credentials|line: 23|thread: MainThread
16-06-2025 18:55:51- INFO| EMA_200_50: Checking for inst: IRCON | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:51- INFO| EMA_200_50: Checking for inst: DATAPATTNS | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:51- INFO| EMA_200_50: Checking for inst: REDINGTON | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:52- INFO| EMA_200_50: Checking for inst: SIGNATURE | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:52- INFO| EMA_200_50: Checking for inst: NAVINFLUOR | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:53- INFO| EMA_200_50: Checking for inst: RAILTEL | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:53- INFO| EMA_200_50: Checking for inst: ANANTRAJ | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:53- INFO| EMA_200_50: Checking for inst: TRIDENT | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:54- INFO| EMA_200_50: Checking for inst: SAGILITY | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:55- INFO| EMA_200_50: Checking for inst: GSPL | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:56- INFO| EMA_200_50: Checking for inst: AMBER | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:56- INFO| EMA_200_50: Checking for inst: ASTERDM | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:57- INFO| EMA_200_50: Checking for inst: AEGISLOG | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:57- INFO| EMA_200_50: Program finished. Exiting.......... | file:EMA_main.py|func:<module>|line: 174|thread: MainThread
16-06-2025 18:57:25- INFO| TeleBot: credentials imported from text file successfully. | file:Notification_Module.py|func:telegram_credentials|line: 23|thread: MainThread
16-06-2025 18:57:25- INFO| TeleBot: Starting notification message worker | file:Notification_Module.py|func:<module>|line: 114|thread: MainThread
16-06-2025 18:57:25- INFO| TeleBot: File ended | file:Notification_Module.py|func:<module>|line: 122|thread: MainThread
16-06-2025 18:57:25- INFO| Alice Module: Session id retrieved from session.pkl for date: 2025-06-16 | file:Alice_Module.py|func:get_session_id|line: 97|thread: MainThread
16-06-2025 18:57:28- INFO| EMA_200_50: Checking for inst: RPOWER | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:57:28- INFO| EMA_200_50: Checking for inst: IFCI | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:57:29- INFO| EMA_200_50: Checking for inst: ANGELONE | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:57:29- INFO| EMA_200_50: Checking for inst: HINDCOPPER | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:57:30- INFO| EMA_200_50: Checking for inst: FIRSTCRY | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:57:30- INFO| EMA_200_50: Checking for inst: ABREL | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:57:31- INFO| EMA_200_50: Checking for inst: JBMA | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:57:31- INFO| EMA_200_50: Checking for inst: FSL | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:57:31- INFO| EMA_200_50: Checking for inst: HFCL | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:57:32- INFO| EMA_200_50: Checking for inst: CYIENT | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:57:32- INFO| EMA_200_50: Checking for inst: PGEL | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:57:32- INFO| EMA_200_50: Checking for inst: AADHARHFC | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
