Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,CDSL,36296,OPTSTK,PE,1940,CENTRAL DEPO SER (I) LTD,CDSL JUL 1940 PE,CDSL31JUL25P1940,2025-07-31,475,0.05
NFO,nse_fo,CDSL,36297,OPTSTK,CE,1980,CENTRAL DEPO SER (I) LTD,CDSL JUL 1980 CE,CDSL31JUL25C1980,2025-07-31,475,0.05
NFO,nse_fo,CDSL,36303,OPTSTK,CE,2040,CENTRAL DEPO SER (I) LTD,CDSL JUL 2040 CE,CDSL31JUL25C2040,2025-07-31,475,0.05
NFO,nse_fo,CDSL,36304,OPTSTK,PE,2040,CENTRAL DEPO SER (I) LTD,CDSL JUL 2040 PE,CDSL31JUL25P2040,2025-07-31,475,0.05
NFO,nse_fo,CDSL,36333,OPTSTK,CE,1960,CENTRAL DEPO SER (I) LTD,CDSL AUG 1960 CE,CDSL28AUG25C1960,2025-08-28,475,0.05
NFO,nse_fo,CDSL,36336,OPTSTK,PE,1960,CENTRAL DEPO SER (I) LTD,CDSL AUG 1960 PE,CDSL28AUG25P1960,2025-08-28,475,0.05
NFO,nse_fo,CDSL,36337,OPTSTK,CE,2040,CENTRAL DEPO SER (I) LTD,CDSL AUG 2040 CE,CDSL28AUG25C2040,2025-08-28,475,0.05
NFO,nse_fo,CDSL,36338,OPTSTK,PE,2040,CENTRAL DEPO SER (I) LTD,CDSL AUG 2040 PE,CDSL28AUG25P2040,2025-08-28,475,0.05
NFO,nse_fo,MCX,36359,OPTSTK,CE,9200,MULTI COMMODITY EXCHANGE,MCX AUG 9200 CE,MCX28AUG25C9200,2025-08-28,125,0.05
NFO,nse_fo,MCX,36360,OPTSTK,PE,9200,MULTI COMMODITY EXCHANGE,MCX AUG 9200 PE,MCX28AUG25P9200,2025-08-28,125,0.05
NFO,nse_fo,MFSL,36366,OPTSTK,CE,1880,MAX FINANCIAL SERV LTD,MFSL AUG 1880 CE,MFSL28AUG25C1880,2025-08-28,800,0.05
NFO,nse_fo,MFSL,36370,OPTSTK,PE,1880,MAX FINANCIAL SERV LTD,MFSL AUG 1880 PE,MFSL28AUG25P1880,2025-08-28,800,0.05
NFO,nse_fo,MUTHOOTFIN,36393,OPTSTK,CE,2740,MUTHOOT FINANCE LIMITED,MUTHOOTFIN JUL 2740 CE,MUTHOOTFIN31JUL25C2740,2025-07-31,275,0.05
NFO,nse_fo,DLF,36429,OPTSTK,CE,920,DLF LIMITED,DLF JUL 920 CE,DLF31JUL25C920,2025-07-31,825,0.05
NFO,nse_fo,DLF,36430,OPTSTK,PE,920,DLF LIMITED,DLF JUL 920 PE,DLF31JUL25P920,2025-07-31,825,0.05
NFO,nse_fo,DALBHARAT,36443,OPTSTK,CE,2520,DALMIA BHARAT LIMITED,DALBHARAT AUG 2520 CE,DALBHARAT28AUG25C2520,2025-08-28,325,0.05
NFO,nse_fo,DALBHARAT,36444,OPTSTK,PE,2520,DALMIA BHARAT LIMITED,DALBHARAT AUG 2520 PE,DALBHARAT28AUG25P2520,2025-08-28,325,0.05
NFO,nse_fo,NBCC,36518,OPTSTK,CE,145,NBCC (INDIA) LIMITED,NBCC JUL 145 CE,NBCC31JUL25C145,2025-07-31,6500,0.05
NFO,nse_fo,NBCC,36526,OPTSTK,PE,145,NBCC (INDIA) LIMITED,NBCC JUL 145 PE,NBCC31JUL25P145,2025-07-31,6500,0.05
NFO,nse_fo,GLENMARK,36613,OPTSTK,CE,1900,GLENMARK PHARMACEUTICALS,GLENMARK JUL 1900 CE,GLENMARK31JUL25C1900,2025-07-31,375,0.05
NFO,nse_fo,GLENMARK,36614,OPTSTK,PE,1900,GLENMARK PHARMACEUTICALS,GLENMARK JUL 1900 PE,GLENMARK31JUL25P1900,2025-07-31,375,0.05
NFO,nse_fo,GLENMARK,36615,OPTSTK,CE,2080,GLENMARK PHARMACEUTICALS,GLENMARK JUL 2080 CE,GLENMARK31JUL25C2080,2025-07-31,375,0.05
NFO,nse_fo,GLENMARK,36616,OPTSTK,PE,2080,GLENMARK PHARMACEUTICALS,GLENMARK JUL 2080 PE,GLENMARK31JUL25P2080,2025-07-31,375,0.05
NFO,nse_fo,GLENMARK,36617,OPTSTK,CE,1960,GLENMARK PHARMACEUTICALS,GLENMARK AUG 1960 CE,GLENMARK28AUG25C1960,2025-08-28,375,0.05
NFO,nse_fo,GLENMARK,36623,OPTSTK,PE,1960,GLENMARK PHARMACEUTICALS,GLENMARK AUG 1960 PE,GLENMARK28AUG25P1960,2025-08-28,375,0.05
NFO,nse_fo,GLENMARK,36633,OPTSTK,CE,2240,GLENMARK PHARMACEUTICALS,GLENMARK AUG 2240 CE,GLENMARK28AUG25C2240,2025-08-28,375,0.05
NFO,nse_fo,GLENMARK,36648,OPTSTK,PE,2240,GLENMARK PHARMACEUTICALS,GLENMARK AUG 2240 PE,GLENMARK28AUG25P2240,2025-08-28,375,0.05
NFO,nse_fo,GLENMARK,36658,OPTSTK,CE,1880,GLENMARK PHARMACEUTICALS,GLENMARK JUL 1880 CE,GLENMARK31JUL25C1880,2025-07-31,375,0.05
NFO,nse_fo,GLENMARK,36659,OPTSTK,PE,1880,GLENMARK PHARMACEUTICALS,GLENMARK JUL 1880 PE,GLENMARK31JUL25P1880,2025-07-31,375,0.05
NFO,nse_fo,GLENMARK,36672,OPTSTK,CE,2220,GLENMARK PHARMACEUTICALS,GLENMARK JUL 2220 CE,GLENMARK31JUL25C2220,2025-07-31,375,0.05
NFO,nse_fo,GLENMARK,36682,OPTSTK,PE,2220,GLENMARK PHARMACEUTICALS,GLENMARK JUL 2220 PE,GLENMARK31JUL25P2220,2025-07-31,375,0.05
NFO,nse_fo,GLENMARK,36683,OPTSTK,CE,2480,GLENMARK PHARMACEUTICALS,GLENMARK JUL 2480 CE,GLENMARK31JUL25C2480,2025-07-31,375,0.05
NFO,nse_fo,GLENMARK,36686,OPTSTK,PE,2480,GLENMARK PHARMACEUTICALS,GLENMARK JUL 2480 PE,GLENMARK31JUL25P2480,2025-07-31,375,0.05
NFO,nse_fo,011NSETEST,36687,FUTSTK,XX,-1,011NSETEST,011NSETEST NOV36 FUT,011NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,NIFTY,36688,OPTIDX,CE,19500,NIFTY,NIFTY 24th DEC 19500 CE,NIFTY24DEC25C19500,2025-12-24,75,0.05
NFO,nse_fo,021NSETEST,36690,FUTSTK,XX,-1,021NSETEST,021NSETEST NOV36 FUT,021NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,031NSETEST,36691,FUTSTK,XX,-1,031NSETEST,031NSETEST NOV36 FUT,031NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,GLENMARK,36692,OPTSTK,CE,2220,GLENMARK PHARMACEUTICALS,GLENMARK AUG 2220 CE,GLENMARK28AUG25C2220,2025-08-28,375,0.05
NFO,nse_fo,GLENMARK,36693,OPTSTK,PE,2220,GLENMARK PHARMACEUTICALS,GLENMARK AUG 2220 PE,GLENMARK28AUG25P2220,2025-08-28,375,0.05
NFO,nse_fo,041NSETEST,36694,FUTSTK,XX,-1,041NSETEST,041NSETEST NOV36 FUT,041NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,051NSETEST,36697,FUTSTK,XX,-1,051NSETEST,051NSETEST NOV36 FUT,051NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,GLENMARK,36699,OPTSTK,CE,2480,GLENMARK PHARMACEUTICALS,GLENMARK AUG 2480 CE,GLENMARK28AUG25C2480,2025-08-28,375,0.05
NFO,nse_fo,061NSETEST,36700,FUTSTK,XX,-1,061NSETEST,061NSETEST NOV36 FUT,061NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,GLENMARK,36701,OPTSTK,PE,2480,GLENMARK PHARMACEUTICALS,GLENMARK AUG 2480 PE,GLENMARK28AUG25P2480,2025-08-28,375,0.05
